timestamp,AQI in  (Bosch BME68X - AQI),Air Temperature in ºC (Bosch BMP280 - Temperature),Air Temperature in degC (Bosch BME68X - Temperature),Relative Humidity in % (Bosch BME68X - Humidity),Barometric Pressure in kPa (Bosch BME68X - Pressure),Gas Resistance in Ohm (Bosch BME68X - Gas Resistance),PM1 in ug/m3 (Plantower PMS5003 - PM1),Relative Humidity in % (Sensirion SHT31 - Humidity),Barometric Pressure in kPa (Bosch BMP280 - Pressure),PM2.5 in ug/m3 (Plantower PMS5003 - PM2.5),PM10 in ug/m3 (Plantower PMS5003 - PM10),PM1 in ug/m3 (Seeed HM-3301 - PM1.0),PM2.5 in ug/m3 (Seeed HM-3301 - PM2.5),PM10 in ug/m3 (Seeed HM-3301 - PM10.0)
2026-05-30 00:30:18 UTC,,28.41463,,,,,12,58.86309,100.919,17,20,,,
2026-05-30 00:31:24 UTC,,28.10382,,,,,12,60.72107,100.92,17,20,,,
2026-05-30 00:32:24 UTC,,27.787,,,,,12,59.79176,100.92,17,20,,,
2026-05-30 00:33:24 UTC,,27.48281,,,,,12,58.80731,100.92,17,20,,,
2026-05-30 00:34:24 UTC,,27.28276,,,,,12,57.89847,100.921,17,20,,,
2026-05-30 00:35:25 UTC,,27.08586,,,,,12,57.63692,100.922,17,20,,,
2026-05-30 00:36:25 UTC,,27.03758,,,,,12,57.11053,100.923,17,19,,,
2026-05-30 00:37:25 UTC,,27.04011,,,,,12,56.71545,100.924,17,20,,,
2026-05-30 00:38:25 UTC,,27.0827,,,,,12,56.38808,100.926,17,19,,,
2026-05-30 00:39:25 UTC,,27.06756,,,,,11,57.67531,100.927,16,18,,,
2026-05-30 00:40:25 UTC,,27.08775,,,,,0,57.51405,100.929,0,0,,,
2026-05-30 00:41:25 UTC,,27.1496,,,,,0,57.08575,100.93,0,0,,,
2026-05-30 00:42:25 UTC,,27.19094,,,,,0,57.42645,100.932,0,0,,,
2026-05-30 00:43:25 UTC,,27.21239,,,,,0,58.51968,100.932,0,0,,,
2026-05-30 00:44:25 UTC,,27.25752,,,,,0,58.23089,100.934,0,0,,,
2026-05-30 00:45:25 UTC,,27.29948,,,,,0,58.19586,100.935,0,0,,,
2026-05-30 00:46:25 UTC,,27.35344,,,,,0,58.65739,100.936,0,0,,,
2026-05-30 00:47:26 UTC,,27.34619,,,,,0,59.97482,100.936,0,0,,,
2026-05-30 00:48:26 UTC,,27.39099,,,,,0,59.40748,100.936,0,0,,,
2026-05-30 00:49:26 UTC,,27.41781,,,,,0,60.78371,100.937,0,0,,,
2026-05-30 00:50:26 UTC,,27.45978,,,,,0,60.34548,100.939,0,0,,,
2026-05-30 00:51:26 UTC,,27.46325,,,,,0,61.16649,100.94,0,0,,,
2026-05-30 00:52:26 UTC,,27.38594,,,,,0,61.05024,100.941,0,0,,,
2026-05-30 00:53:26 UTC,,27.25121,,,,,0,61.16903,100.94,0,0,,,
2026-05-30 00:54:26 UTC,,27.10921,,,,,0,61.37735,100.94,0,0,,,
2026-05-30 00:55:26 UTC,,26.96658,,,,,0,61.65554,100.94,0,0,,,
2026-05-30 00:56:26 UTC,,26.86498,,,,,0,61.59816,100.939,0,0,,,
2026-05-30 00:57:26 UTC,,26.90158,,,,,0,60.75423,100.939,0,0,,,
2026-05-30 00:58:26 UTC,,26.99056,,,,,0,60.27483,100.939,0,0,,,
2026-05-30 00:59:27 UTC,,27.08649,,,,,0,60.68489,100.939,0,0,,,
2026-05-30 01:00:27 UTC,,27.16127,,,,,0,61.05787,100.94,0,0,,,
2026-05-30 01:01:27 UTC,,27.2105,,,,,0,61.86052,100.941,0,0,,,
2026-05-30 01:02:27 UTC,,27.41087,,,,,0,64.02051,100.942,0,0,,,
2026-05-30 01:12:19 UTC,,28.3187,,,,,12,59.91343,100.939,17,19,,,
2026-05-30 01:13:19 UTC,,28.19312,,,,,12,59.28556,100.939,17,19,,,
2026-05-30 01:14:19 UTC,,28.10287,,,,,11,59.18917,100.939,16,18,,,
2026-05-30 01:15:19 UTC,,28.05964,,,,,12,58.62423,100.94,17,20,,,
2026-05-30 01:16:19 UTC,,28.04733,,,,,12,58.21659,100.941,17,20,,,
2026-05-30 01:17:20 UTC,,28.05901,,,,,12,57.89562,100.941,17,19,,,
2026-05-30 01:18:20 UTC,,28.08741,,,,,12,57.70095,100.943,17,19,,,
2026-05-30 01:19:20 UTC,,28.13158,,,,,12,57.46083,100.944,17,19,,,
2026-05-30 01:20:20 UTC,,28.17544,,,,,11,57.25511,100.944,16,18,,,
2026-05-30 01:21:20 UTC,,28.21615,,,,,11,57.0833,100.945,16,18,,,
2026-05-30 01:22:20 UTC,,28.29093,,,,,11,56.94388,100.945,15,17,,,
2026-05-30 01:23:20 UTC,,28.38276,,,,,11,56.26176,100.948,16,18,,,
2026-05-30 01:24:20 UTC,,28.45628,,,,,11,56.5244,100.949,16,18,,,
2026-05-30 01:25:20 UTC,,28.51213,,,,,11,56.35534,100.951,15,17,,,
2026-05-30 01:26:20 UTC,,28.55,,,,,11,56.14976,100.951,16,18,,,
2026-05-30 01:27:20 UTC,,28.58503,,,,,11,56.16842,100.951,15,17,,,
2026-05-30 01:28:20 UTC,,28.61784,,,,,10,56.04389,100.951,14,15,,,
2026-05-30 01:29:20 UTC,,28.63709,,,,,10,56.1419,100.952,14,15,,,
2026-05-30 01:30:21 UTC,,28.66549,,,,,11,56.53425,100.952,16,18,,,
2026-05-30 01:31:21 UTC,,28.70304,,,,,10,57.33909,100.952,14,15,,,
2026-05-30 01:32:21 UTC,,28.74091,,,,,11,57.69414,100.952,16,18,,,
2026-05-30 01:33:21 UTC,,28.79582,,,,,10,57.24318,100.951,14,14,,,
2026-05-30 01:34:21 UTC,,28.83336,,,,,10,58.82908,100.952,14,15,,,
2026-05-30 01:35:21 UTC,,28.84188,,,,,10,58.64418,100.951,14,14,,,
2026-05-30 01:36:21 UTC,,28.8807,,,,,10,58.19556,100.951,14,14,,,
2026-05-30 01:37:21 UTC,,28.93087,,,,,10,58.05862,100.95,14,14,,,
2026-05-30 01:38:21 UTC,,28.97568,,,,,9,58.17528,100.948,13,13,,,
2026-05-30 01:39:21 UTC,,28.97884,,,,,9,56.81867,100.948,13,13,,,
2026-05-30 01:40:21 UTC,,28.95485,,,,,10,56.13332,100.948,14,14,,,
2026-05-30 01:41:21 UTC,,28.93939,,,,,9,56.44444,100.948,13,13,,,
2026-05-30 01:42:22 UTC,,28.94507,,,,,10,56.34302,100.947,14,14,,,
2026-05-30 01:43:22 UTC,,28.97221,,,,,10,56.48329,100.946,14,14,,,
2026-05-30 01:44:22 UTC,,28.98357,,,,,10,56.915,100.945,14,14,,,
2026-05-30 01:45:22 UTC,,29.01576,,,,,10,56.90604,100.944,14,14,,,
2026-05-30 01:46:22 UTC,,29.04699,,,,,9,56.84911,100.943,13,13,,,
2026-05-30 01:47:22 UTC,,29.10221,,,,,9,56.5704,100.943,13,13,,,
2026-05-30 01:48:22 UTC,,29.13598,,,,,9,57.29992,100.942,13,13,,,
2026-05-30 01:49:22 UTC,,29.16343,,,,,10,57.57124,100.941,14,14,,,
2026-05-30 01:50:22 UTC,,29.1912,,,,,9,57.32174,100.94,13,13,,,
2026-05-30 01:51:22 UTC,,29.21929,,,,,9,57.19576,100.939,13,13,,,
2026-05-30 01:52:22 UTC,,29.248,,,,,10,57.81707,100.938,14,14,,,
2026-05-30 01:53:22 UTC,,29.23222,,,,,9,56.87617,100.936,13,13,,,
2026-05-30 01:54:23 UTC,,29.21581,,,,,9,55.6338,100.934,13,13,,,
2026-05-30 01:55:23 UTC,,29.18394,,,,,9,55.58168,100.932,13,13,,,
2026-05-30 01:56:23 UTC,,29.14829,,,,,9,55.84152,100.929,13,13,,,
2026-05-30 01:57:23 UTC,,29.1587,,,,,9,55.83622,100.926,13,13,,,
2026-05-30 01:58:23 UTC,,29.19657,,,,,9,55.85528,100.924,13,13,,,
2026-05-30 01:59:23 UTC,,29.22749,,,,,8,56.70468,100.922,11,11,,,
2026-05-30 02:00:23 UTC,,29.26883,,,,,7,56.7517,100.921,10,10,,,
2026-05-30 02:01:23 UTC,,29.32973,,,,,8,56.44659,100.92,11,11,,,
2026-05-30 02:02:23 UTC,,29.35371,,,,,8,56.83242,100.919,11,11,,,
2026-05-30 02:03:23 UTC,,29.37075,,,,,7,57.60871,100.919,10,10,,,
2026-05-30 02:04:23 UTC,,29.3717,,,,,7,56.60965,100.919,10,10,,,
2026-05-30 02:05:23 UTC,,29.36823,,,,,6,55.83245,100.918,8,8,,,
2026-05-30 02:06:24 UTC,,29.35024,,,,,6,55.63956,100.918,8,8,,,
2026-05-30 02:07:24 UTC,,29.35718,,,,,6,55.43688,100.916,8,8,,,
2026-05-30 02:08:24 UTC,,29.35718,,,,,7,55.12498,100.916,10,10,,,
2026-05-30 02:09:24 UTC,,29.33888,,,,,6,54.01447,100.916,8,8,,,
2026-05-30 02:10:24 UTC,,29.28839,,,,,6,53.42899,100.916,9,9,,,
2026-05-30 02:11:24 UTC,,29.21645,,,,,6,53.12376,100.914,9,9,,,
2026-05-30 02:12:24 UTC,,29.13819,,,,,6,55.6566,100.913,8,8,,,
2026-05-30 02:13:24 UTC,,29.15649,,,,,6,55.48273,100.913,9,9,,,
2026-05-30 02:14:24 UTC,,29.21108,,,,,7,55.59917,100.914,10,10,,,
2026-05-30 02:15:24 UTC,,29.16154,,,,,7,56.91368,100.913,10,10,,,
2026-05-30 02:16:24 UTC,,29.15712,,,,,7,56.70125,100.914,10,10,,,
2026-05-30 02:17:24 UTC,,29.17069,,,,,6,56.49168,100.913,8,8,,,
2026-05-30 02:18:25 UTC,,29.20225,,,,,7,56.23721,100.914,10,10,,,
2026-05-30 02:19:25 UTC,,29.21266,,,,,7,57.16057,100.914,10,10,,,
2026-05-30 02:20:25 UTC,,29.23475,,,,,7,55.46002,100.914,10,10,,,
2026-05-30 02:21:25 UTC,,29.25558,,,,,7,54.29256,100.913,10,10,,,
2026-05-30 02:22:25 UTC,,29.18142,,,,,7,54.80887,100.912,10,10,,,
2026-05-30 02:23:25 UTC,,29.13724,,,,,7,54.89728,100.911,10,10,,,
2026-05-30 02:24:25 UTC,,29.11358,,,,,8,55.65306,100.91,11,11,,,
2026-05-30 02:25:25 UTC,,29.16375,,,,,8,55.26674,100.91,11,11,,,
2026-05-30 02:26:25 UTC,,29.19593,,,,,8,56.37941,100.909,11,11,,,
2026-05-30 02:27:25 UTC,,29.20446,,,,,6,56.47612,100.909,9,9,,,
2026-05-30 02:28:25 UTC,,29.21802,,,,,8,56.34171,100.908,11,11,,,
2026-05-30 02:29:25 UTC,,29.2805,,,,,7,55.87419,100.907,10,10,,,
2026-05-30 02:30:25 UTC,,29.27956,,,,,7,56.88309,100.907,10,10,,,
2026-05-30 02:31:26 UTC,,29.30038,,,,,7,55.06945,100.907,10,10,,,
2026-05-30 02:32:26 UTC,,29.3048,,,,,7,53.94906,100.906,10,10,,,
2026-05-30 02:33:26 UTC,,29.19436,,,,,7,54.91894,100.905,10,10,,,
2026-05-30 02:34:26 UTC,,29.18363,,,,,6,54.38361,100.905,9,9,,,
2026-05-30 02:35:26 UTC,,29.17132,,,,,7,54.57089,100.905,10,10,,,
2026-05-30 02:36:26 UTC,,29.19688,,,,,7,54.67585,100.904,10,10,,,
2026-05-30 02:37:26 UTC,,29.17227,,,,,7,55.43071,100.904,10,10,,,
2026-05-30 02:38:26 UTC,,29.1972,,,,,6,55.07504,100.904,9,9,,,
2026-05-30 02:39:26 UTC,,29.20982,,,,,7,55.17844,100.903,10,10,,,
2026-05-30 02:40:26 UTC,,29.20982,,,,,6,55.53788,100.902,8,8,,,
2026-05-30 02:41:26 UTC,,29.183,,,,,6,56.13908,100.902,8,8,,,
2026-05-30 02:42:26 UTC,,29.2054,,,,,7,54.13717,100.902,10,10,,,
2026-05-30 02:43:27 UTC,,29.20446,,,,,6,53.06847,100.901,8,8,,,
2026-05-30 02:44:27 UTC,,29.22686,,,,,7,51.98228,100.9,10,10,,,
2026-05-30 02:45:27 UTC,,29.19846,,,,,7,51.35974,100.898,10,10,,,
2026-05-30 02:46:27 UTC,,29.14639,,,,,6,51.46563,100.897,9,9,,,
2026-05-30 02:47:27 UTC,,29.09969,,,,,6,53.65122,100.897,9,9,,,
2026-05-30 02:48:27 UTC,,29.13724,,,,,6,53.96592,100.898,8,8,,,
2026-05-30 02:49:27 UTC,,29.20098,,,,,6,54.80489,100.898,8,8,,,
2026-05-30 02:50:27 UTC,,29.24642,,,,,4,55.78769,100.896,6,6,,,
2026-05-30 02:51:27 UTC,,29.2865,,,,,4,55.81385,100.896,6,6,,,
